title,thumbnail_url,Artist Name and Installation Date,Art Type,Location Description,latitude,longitude
A Moment In Time,https://live.staticflickr.com/3275/3022737155_dd5e89bc52_3k.jpg,"Gifford Myers, 2001",Sculpture,9105 Beverly Boulevard,34.077342,-118.389343
The Riddle of the Sphinx,https://live.staticflickr.com/3175/3023566046_94054c208c_h.jpg,"Richard Turner, 2000",Sculpture,7377 Santa Monica Boulevard (Plummer Park),34.091572,-118.350922
Rockin' Angel,,"Peter Shire, 2009",Sculpture,Santa Monica Median near Palms Avenue,34.088566,-118.377686
West Hollywood Clock,,"Nancy Mooslin, 1996",Sculpture,8520 Santa Monica Boulevard,34.088706,-118.377083
Pattern Language (The London Gates),https://live.staticflickr.com/7059/6892904681_c6edf23cd6_3k.jpg,"Charles Fine, 2009",Sculpture,1020 San Vicente Boulevard,34.089912,-118.385406
Horizon; Cubes,https://live.staticflickr.com/5028/30009018521_d37221bb87_k.jpg,"Erwin Redl, 2012",Light sculpture,8687 Melrose Avenue,34.082185,-118.3842395
Platanus Bibliotechalis,https://live.staticflickr.com/5635/30009178901_ab789d1cea_k.jpg,"David Wiseman, 2011",Sculpture,625 N. San Vicente Blvd,34.081741,-118.383705
Untitled,https://live.staticflickr.com/3053/3022728639_fe2a2918ae_3k.jpg,"Lee Kelly, 1988",Sculpture,8815 Cynthia Street,34.087391,-118.383598
All Tiled Up,https://live.staticflickr.com/3058/3023557908_8d9ac07200_3k.jpg,"Massoud Arabshahi, 1990",Architectural,1274 N. Harper Avenue,34.093903,-118.368713
Mediterraneo,https://live.staticflickr.com/3146/3022728905_188d8abb07_3k.jpg,"Alona Hamilton Cooke, 1988",Fountain and tile work,9024 Cynthia Street,34.087208,-118.388588
Untitled,https://live.staticflickr.com/3053/3022728639_fe2a2918ae_3k.jpg,"Phillipe Starck, 1996",Sculpture,8440 Sunset Boulevard,34.094452,-118.374268
Sunset Strip Poinsettia Fields,https://live.staticflickr.com/8127/30092628065_81dbefda4b_k.jpg,"Brad Howe, 2011",Sculpture,8600 Sunset Blvd.,34.092285,-118.379501
Close-Up,https://live.staticflickr.com/4572/25029017238_27010a9cc9_5k.jpg,"Christian Moeller, 2016",Sculpture,7302 Santa Monica Blvd.,34.090197,-118.349283
Untitled,https://live.staticflickr.com/3053/3023564160_7de2d14e1a_3k.jpg,"Bowman, 1997",Mural,8611 Santa Monica Blvd,34.088135,-118.379234
